3/6/22 12:44 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	     423	19476	                      94719	                       134794	   423	
Remaining:       	       2	   22	                         97	                          154	     2	
Unique:          	     423	19476	                      94719	                       134794	   423	
Unique Remaining:	       2	   22	                         97	                          154	     2	


Individual File Statistics:

File Name                           	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
12_اساسي المرحلة الثانية/286.txt    	             1	                 0	              1	                        0	         35	              0	          35	                     0	                              188	                                    0	                               188	                                           0	                                261	                                      0	                                 261	                                             0	
12_اساسي المرحلة الثانية/287.txt    	             1	                 0	              1	                        0	         42	              0	          42	                     0	                              182	                                    0	                               182	                                           0	                                269	                                      0	                                 269	                                             0	
12_اساسي المرحلة الثانية/288.txt    	             1	                 0	              1	                        0	         40	              0	          40	                     0	                              191	                                    0	                               191	                                           0	                                275	                                      0	                                 275	                                             0	
12_اساسي المرحلة الثانية/289.txt    	             1	                 0	              1	                        0	         42	              0	          42	                     0	                              210	                                    0	                               210	                                           0	                                298	                                      0	                                 298	                                             0	
12_اساسي المرحلة الثانية/291.txt    	             1	                 0	              1	                        0	         48	              0	          48	                     0	                              196	                                    0	                               196	                                           0	                                296	                                      0	                                 296	                                             0	
12_اساسي المرحلة الثانية/292.txt    	             1	                 0	              1	                        0	         44	              0	          44	                     0	                              201	                                    0	                               201	                                           0	                                291	                                      0	                                 291	                                             0	
12_اساسي المرحلة الثانية/293.txt    	             1	                 0	              1	                        0	         49	              0	          49	                     0	                              210	                                    0	                               210	                                           0	                                312	                                      0	                                 312	                                             0	
12_اساسي المرحلة الثانية/294.txt    	             1	                 0	              1	                        0	         46	              0	          46	                     0	                              204	                                    0	                               204	                                           0	                                300	                                      0	                                 300	                                             0	
12_اساسي المرحلة الثانية/296.txt    	             1	                 0	              1	                        0	         40	              0	          40	                     0	                              217	                                    0	                               217	                                           0	                                301	                                      0	                                 301	                                             0	
12_اساسي المرحلة الثانية/297.txt    	             1	                 0	              1	                        0	         42	              0	          42	                     0	                              200	                                    0	                               200	                                           0	                                288	                                      0	                                 288	                                             0	
12_اساسي المرحلة الثانية/298.txt    	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              226	                                    0	                               226	                                           0	                                302	                                      0	                                 302	                                             0	
12_اساسي المرحلة الثانية/299.txt    	             1	                 0	              1	                        0	         43	              0	          43	                     0	                              222	                                    0	                               222	                                           0	                                313	                                      0	                                 313	                                             0	
12_اساسي المرحلة الثانية/301.txt    	             1	                 0	              1	                        0	         54	              0	          54	                     0	                              215	                                    0	                               215	                                           0	                                328	                                      0	                                 328	                                             0	
12_اساسي المرحلة الثانية/302.txt    	             1	                 0	              1	                        0	         43	              0	          43	                     0	                              212	                                    0	                               212	                                           0	                                302	                                      0	                                 302	                                             0	
